TechnicalCondition,PassportAgeYears,ResourceType,WaterType,HasFauna,RequiresAttention
5,13.06,1,1,1,True
4,11.91,2,0,1,True
3,1.89,2,0,1,True
1,7.20,0,0,1,True
4,7.39,1,0,1,True
5,0.24,2,1,1,True
3,14.34,1,1,1,True
2,10.20,0,1,1,True
5,9.70,1,1,1,True
1,8.23,2,0,1,True
3,6.66,0,0,0,True
2,12.80,1,1,1,True
4,3.61,2,1,0,True
1,13.57,2,0,0,True
5,1.50,1,0,1,False
2,4.86,0,0,0,True
1,11.00,0,0,1,True
5,5.18,0,1,0,True
5,4.55,1,1,0,True
2,5.76,0,0,0,True
4,3.20,0,1,0,True
3,6.16,2,0,1,True
1,11.87,1,0,0,True
5,3.34,0,1,0,False
4,11.24,0,0,0,True
2,12.83,0,1,1,True
3,4.58,0,1,0,True
3,9.91,1,1,1,True
4,1.18,0,0,0,False
2,9.55,0,0,1,True
1,6.34,1,1,0,True
1,2.18,0,0,1,True
5,2.51,0,0,0,False
4,9.47,0,1,0,True
4,3.28,1,1,1,True
2,6.43,1,1,1,True
2,7.32,1,1,1,True
2,9.30,0,0,0,True
2,0.35,0,1,0,True
2,3.58,2,0,0,True
2,3.18,1,0,1,True
3,5.25,1,0,0,True
4,2.50,2,1,1,True
3,8.19,0,0,1,True
5,7.29,0,0,0,True
5,11.86,0,1,0,True
5,2.10,2,1,1,True
4,0.70,2,0,1,True
3,8.90,1,0,1,True
4,13.59,1,0,0,True
1,7.96,0,0,0,True
4,14.30,2,0,1,True
1,9.07,2,0,1,True
3,11.41,1,0,1,True
5,11.95,2,1,0,True
1,12.03,2,1,1,True
4,8.29,2,1,0,True
1,3.73,2,0,0,True
4,6.33,0,1,0,True
4,1.20,2,0,0,True
2,1.78,2,1,0,True
3,7.91,2,1,1,True
5,12.17,1,1,1,True
5,10.51,2,1,1,True
2,3.43,0,1,1,True
1,3.36,0,0,0,True
1,7.95,0,1,1,True
3,0.52,2,1,1,True
1,3.08,0,1,1,True
4,10.82,0,0,0,True
4,0.15,2,0,1,True
5,12.61,1,0,0,True
2,5.18,0,0,0,True
5,6.88,1,1,0,True
4,7.02,2,1,0,True
5,14.58,0,0,1,True
4,7.59,1,0,1,True
2,0.01,2,1,0,True
3,7.40,1,0,0,True
3,2.41,1,0,0,True
4,3.18,1,1,0,True
2,0.79,1,1,1,True
2,7.23,1,0,0,True
4,12.69,2,1,0,True
1,7.46,2,0,1,True
1,7.40,0,0,1,True
3,8.00,2,0,1,True
4,13.31,2,0,0,True
2,4.27,2,0,0,True
1,1.69,2,1,1,True
4,14.94,1,1,1,True
3,0.73,2,0,1,True
3,6.38,0,1,1,True
5,0.64,1,1,1,False
5,13.84,0,1,0,True
4,13.59,2,0,1,True
5,11.60,1,1,1,True
1,3.47,1,1,1,True
2,8.36,0,0,1,True
2,13.08,0,0,0,True
1,14.37,2,0,0,True
5,2.74,2,1,1,True
1,1.26,1,0,1,True
4,13.07,1,1,0,True
3,4.41,0,0,0,True
3,11.14,2,1,1,True
2,13.43,2,1,0,True
1,6.41,2,0,0,True
1,14.39,0,0,0,True
2,0.71,1,0,1,True
4,11.12,0,0,0,True
2,4.67,0,1,0,True
5,1.03,2,1,1,True
4,6.02,2,1,0,True
4,3.21,0,1,1,True
5,14.39,0,1,0,True
2,0.70,0,0,1,True
2,2.19,2,0,0,True
2,4.12,0,1,1,True
1,1.31,1,1,0,True
3,11.32,2,1,0,True
4,13.91,0,1,1,True
4,10.13,2,1,0,True
2,9.03,2,1,0,True
3,2.15,1,1,1,True
4,6.54,1,0,0,True
2,12.24,0,1,0,True
2,10.67,1,0,0,True
3,2.60,2,1,1,True
2,9.93,1,1,0,True
4,13.72,0,0,1,True
1,10.98,0,1,1,True
5,6.32,0,0,1,True
4,0.61,0,1,0,True
1,14.84,2,1,1,True
3,10.75,2,0,0,True
3,3.67,2,0,0,True
4,10.16,1,0,1,True
3,1.78,0,1,1,True
4,2.61,1,0,0,True
3,6.77,0,0,0,True
4,10.28,0,1,1,True
5,2.84,2,1,1,True
1,9.26,0,1,0,True
4,10.69,2,1,0,True
4,14.43,0,1,0,True
2,2.43,0,1,1,True
5,9.80,0,1,1,True
2,13.72,0,1,0,True
4,12.50,0,0,1,True
1,11.54,0,0,0,True
1,14.86,0,1,1,True
2,8.05,2,0,1,True
2,14.79,2,0,1,True
4,11.84,1,1,0,True
3,11.41,1,1,0,True
5,9.44,1,0,1,True
3,5.00,0,1,1,True
4,9.52,0,1,0,True
5,1.06,0,1,1,False
2,4.16,2,1,0,True
2,11.34,0,1,0,True
5,11.36,1,1,1,True
2,1.12,0,1,0,True
5,11.72,1,1,1,True
5,0.88,2,0,0,True
1,8.58,2,0,0,True
4,14.60,1,0,1,True
3,0.34,1,1,1,True
1,5.84,0,0,0,True
2,10.98,0,1,1,True
1,12.14,1,0,1,True
2,11.74,2,0,0,True
1,11.95,2,0,0,True
5,0.41,1,0,1,False
2,10.35,1,0,0,True
5,0.11,0,0,0,False
5,5.00,0,1,1,True
4,13.92,0,1,0,True
3,3.94,1,0,1,True
4,9.09,2,1,1,True
2,12.45,2,0,0,True
5,14.43,1,0,0,True
3,2.85,1,1,1,True
4,5.99,1,0,1,True
5,6.75,0,1,0,True
1,6.02,1,0,0,True
1,7.29,1,0,1,True
3,8.24,0,1,1,True
2,0.01,2,1,1,True
4,14.96,2,1,0,True
5,7.11,1,0,1,True
2,5.41,2,1,1,True
3,6.35,1,0,1,True
4,4.67,1,0,0,True
4,5.88,1,0,0,True
5,3.67,0,1,0,False
4,7.66,2,1,0,True
4,10.57,1,1,0,True
5,7.82,0,1,0,True
3,8.54,0,0,0,True
2,3.95,2,1,1,True
5,0.97,0,0,0,False
4,2.04,2,1,1,True
1,12.46,0,1,0,True
1,3.36,0,0,0,True
1,10.59,0,0,0,True
4,1.61,2,0,1,True
2,10.53,0,1,1,True
5,7.16,2,1,0,True
2,5.90,0,0,1,True
2,10.95,0,1,0,True
2,6.11,2,1,0,True
3,0.74,0,0,1,True
4,2.04,0,1,0,True
4,5.38,2,0,1,True
1,8.83,1,0,1,True
1,11.13,1,0,1,True
1,1.28,0,0,0,True
4,3.07,2,1,0,True
2,5.35,1,0,1,True
5,11.81,1,0,1,True
1,2.35,1,1,1,True
5,4.44,1,1,1,True
3,4.68,0,1,1,True
5,7.09,0,0,0,True
3,10.06,2,1,0,True
1,2.60,0,0,0,True
3,10.19,0,0,1,True
1,9.51,1,0,1,True
3,3.39,2,1,0,True
3,0.03,0,0,0,True
5,13.86,2,1,1,True
5,1.50,2,0,0,True
3,13.76,2,0,1,True
4,4.03,2,0,0,True
5,6.57,0,1,1,True
5,8.23,1,1,0,True
1,7.67,0,1,0,True
4,6.05,0,1,0,True
4,1.53,0,1,0,True
3,9.82,1,1,1,True
3,2.75,0,1,0,True
4,7.79,2,0,0,True
2,11.92,2,1,1,True
2,2.18,0,0,0,True
2,6.24,0,0,0,True
2,9.54,2,0,1,True
4,0.38,0,0,0,False
2,8.74,2,1,0,True
1,12.22,0,1,0,True
5,5.98,0,0,0,True
2,7.62,0,0,1,True
3,5.55,0,1,0,True
4,11.13,0,1,1,True
5,12.48,0,1,0,True
3,10.91,0,1,0,True
1,4.50,2,1,0,True
3,0.89,2,0,1,True
2,6.70,2,0,1,True
2,4.15,2,0,1,True
3,8.58,1,1,1,True
2,0.38,0,0,1,True
5,3.16,1,1,0,False
4,7.35,2,0,1,True
5,1.80,2,1,0,True
3,10.58,2,0,0,True
1,14.38,0,1,0,True
4,0.29,2,1,1,True
5,9.87,0,0,1,True
3,1.74,2,1,1,True
1,7.96,2,0,1,True
1,7.29,0,0,1,True
2,1.29,1,1,1,True
4,13.53,1,0,1,True
4,6.31,0,1,1,True
3,6.46,0,1,1,True
1,4.17,0,0,1,True
2,13.09,0,0,1,True
4,9.73,1,0,1,True
1,10.67,2,0,1,True
5,3.92,2,0,1,True
5,11.50,1,1,1,True
2,11.29,2,1,0,True
3,7.31,2,0,0,True
3,1.42,1,0,1,True
5,13.90,1,1,0,True
2,1.46,0,0,0,True
1,14.36,2,1,0,True
5,7.55,2,1,1,True
3,5.02,0,1,1,True
3,7.01,0,1,1,True
5,5.19,1,0,0,True
3,5.16,0,1,0,True
2,11.04,2,0,1,True
2,13.81,0,0,0,True
3,12.53,1,1,1,True
4,7.01,0,0,1,True
4,8.26,0,1,0,True
1,8.96,2,0,0,True
3,2.50,2,0,0,True
4,8.03,2,1,1,True
3,10.19,2,0,0,True
1,3.03,2,0,1,True
4,6.82,1,1,0,True
5,5.55,1,0,0,True
5,7.31,0,0,0,True
5,0.16,2,1,0,True
4,9.84,0,0,0,True
1,6.03,1,1,0,True
3,0.79,0,0,1,True
4,1.67,0,0,0,True
5,14.47,2,0,0,True
2,12.30,0,1,0,True
3,14.00,0,1,0,True
5,14.08,0,0,1,True
2,11.10,1,0,0,True
2,2.90,0,1,0,True
2,10.85,0,1,1,True
4,8.10,0,0,1,True
1,4.00,2,0,1,True
4,11.53,0,1,0,True
2,0.52,2,0,1,True
3,14.92,2,0,0,True
4,4.02,0,0,0,True
2,11.30,0,1,0,True
2,14.55,2,1,1,True
4,9.88,1,1,0,True
5,8.40,0,0,1,True
5,13.77,2,0,1,True
2,3.42,1,0,0,True
2,11.67,2,1,1,True
1,12.82,0,0,0,True
1,2.06,2,1,1,True
1,0.45,2,0,1,True
5,14.68,1,0,0,True
1,9.06,1,0,0,True
4,1.59,2,0,0,True
3,8.38,1,0,0,True
2,10.01,1,1,0,True
4,13.98,0,1,1,True
1,10.35,1,1,0,True
2,14.92,2,0,1,True
1,9.77,2,1,0,True
4,9.47,2,1,0,True
5,6.78,1,0,0,True
2,13.77,0,1,0,True
4,11.59,0,1,0,True
3,11.67,2,0,0,True
2,13.94,2,0,0,True
1,3.80,1,1,1,True
2,2.72,1,1,0,True
2,5.97,1,1,0,True
5,1.19,1,0,0,False
5,11.22,0,0,1,True
3,5.69,2,1,1,True
5,13.27,0,0,0,True
4,0.16,2,1,1,True
1,11.94,2,1,0,True
4,10.17,2,0,1,True
5,2.99,1,0,0,False
1,4.03,2,0,1,True
2,10.51,2,1,1,True
4,2.79,2,0,0,True
4,12.01,0,1,0,True
1,12.04,0,0,0,True
3,7.78,2,1,1,True
1,10.55,0,1,0,True
2,12.22,2,1,0,True
1,12.30,0,0,0,True
3,4.79,2,1,0,True
1,3.07,1,1,0,True
3,11.08,1,0,1,True
5,0.27,1,1,1,False
1,8.50,1,1,1,True
5,0.15,0,1,1,False
4,4.28,1,0,1,True
1,8.51,1,1,0,True
1,14.60,2,1,1,True
5,7.19,2,0,1,True
3,8.92,1,1,1,True
2,13.76,0,0,0,True
5,7.22,1,0,1,True
1,8.65,1,1,0,True
3,3.02,1,1,1,True
3,5.70,1,1,1,True
5,3.22,2,0,0,True
3,11.60,1,0,1,True
5,10.48,1,1,0,True
1,9.28,0,0,0,True
5,11.22,0,0,1,True
1,0.72,1,1,0,True
1,0.77,1,0,0,True
2,3.43,0,0,1,True
3,13.50,0,0,1,True
5,6.25,2,0,0,True
5,6.06,0,0,0,True
3,5.69,0,1,1,True
5,13.30,0,0,0,True
1,9.77,0,0,1,True
5,13.60,1,0,1,True
4,11.54,2,1,0,True
4,13.80,2,0,1,True
3,9.26,1,1,0,True
1,5.99,1,1,0,True
2,7.75,2,0,1,True
3,5.11,1,0,0,True
2,14.22,1,0,1,True
1,10.80,2,1,1,True
3,14.91,1,1,0,True
4,10.63,1,0,1,True
1,4.15,1,1,0,True
4,3.37,1,1,1,True
2,9.06,1,0,1,True
3,4.99,2,1,1,True
4,12.16,0,0,1,True
1,11.42,0,1,0,True
4,5.03,2,1,0,True
3,11.82,0,0,0,True
4,5.84,2,0,1,True
1,2.28,1,1,1,True
2,6.02,1,1,0,True
1,10.54,0,0,0,True
4,0.31,2,0,0,True
2,9.11,1,1,0,True
4,1.77,2,0,0,True
1,12.94,1,1,0,True
1,8.95,1,0,0,True
2,10.60,2,0,0,True
2,14.15,2,0,1,True
4,11.50,2,0,0,True
1,1.05,0,0,1,True
2,4.18,2,0,0,True
4,12.71,1,1,0,True
3,10.38,2,1,1,True
3,14.54,0,0,1,True
5,0.37,1,0,0,False
2,4.38,2,0,1,True
1,4.08,2,1,0,True
4,13.94,1,0,1,True
3,3.44,1,1,1,True
3,1.10,1,0,0,True
2,10.43,1,1,0,True
5,2.31,2,1,1,True
4,6.67,1,0,0,True
5,10.64,1,1,1,True
4,9.14,1,1,1,True
3,12.85,0,1,1,True
2,3.50,1,1,0,True
4,10.14,1,1,0,True
3,0.08,2,1,0,True
4,5.69,0,1,1,True
2,0.68,0,0,0,True
2,13.65,2,1,0,True
2,1.58,1,1,0,True
3,10.44,1,0,0,True
1,12.15,1,1,0,True
4,9.88,1,1,1,True
2,8.87,1,1,1,True
2,9.12,2,1,0,True
5,10.38,0,0,0,True
2,11.17,1,0,1,True
3,5.94,2,1,0,True
5,9.87,1,0,1,True
3,13.75,2,0,0,True
1,8.19,1,0,1,True
2,6.97,1,0,0,True
4,12.92,1,1,0,True
2,12.27,1,0,1,True
4,13.97,2,0,1,True
2,0.53,1,1,0,True
1,5.38,1,0,0,True
5,9.86,0,1,0,True
1,9.97,2,1,1,True
3,11.49,2,1,0,True
3,13.59,2,1,1,True
1,0.10,1,0,1,True
4,14.20,1,1,0,True
2,0.48,1,0,0,True
2,8.06,0,0,0,True
4,4.27,0,1,1,True
5,5.53,2,1,1,True
2,13.00,2,1,1,True
5,9.50,1,1,0,True
2,6.77,2,1,0,True
1,11.16,2,0,1,True
4,1.50,2,0,1,True
2,5.82,1,0,1,True
1,6.13,1,0,1,True
1,13.27,2,1,0,True
4,14.71,0,0,1,True
4,3.28,0,0,0,True
5,11.80,2,0,0,True
5,1.05,2,0,1,True
4,0.54,0,0,1,False
4,0.23,2,0,0,True
5,0.68,1,1,1,False
1,13.22,0,1,0,True
5,12.97,1,1,1,True
4,5.48,0,0,1,True
4,9.38,0,0,1,True
1,7.67,1,1,0,True
2,4.16,1,0,0,True
3,14.68,2,0,0,True
2,10.51,0,0,1,True
4,5.91,1,1,1,True
2,9.26,0,0,1,True
2,2.83,1,0,1,True
5,7.60,0,0,1,True
5,5.74,1,0,0,True
1,8.34,2,1,0,True
5,8.91,1,0,0,True
3,7.07,0,0,0,True
4,14.88,0,1,1,True
5,4.15,1,1,1,True
3,14.94,1,0,0,True
5,10.36,0,0,0,True
2,4.77,1,0,1,True
2,10.56,1,1,1,True
4,8.17,2,1,1,True
3,12.85,2,1,0,True
2,3.72,1,0,0,True
4,4.28,1,0,0,True
4,5.82,1,0,1,True
1,10.55,1,0,1,True
2,3.74,2,0,1,True
2,4.17,0,0,0,True
5,4.40,1,0,1,False
4,8.17,0,0,1,True
2,8.44,0,1,1,True
4,3.39,2,1,1,True
3,7.26,1,1,1,True
1,5.32,0,1,0,True
5,1.77,2,0,0,True
2,12.76,1,0,1,True
2,11.18,1,1,1,True
5,14.90,1,0,1,True
4,10.60,1,0,0,True
1,7.19,1,1,1,True
4,6.71,2,1,1,True
4,14.17,1,0,1,True
3,3.97,1,0,1,True
4,8.73,1,0,0,True
3,14.82,1,1,0,True
4,6.06,0,1,0,True
1,4.04,0,1,1,True
5,7.49,0,0,1,True
5,11.57,1,1,0,True
1,4.41,0,0,0,True
2,12.29,1,0,1,True
1,11.07,0,0,0,True
5,14.96,0,1,0,True
4,1.48,0,0,1,True
5,2.84,0,1,1,True
2,12.96,0,0,0,True
1,11.68,2,1,0,True
1,10.08,1,1,1,True
1,3.21,2,0,1,True
3,13.91,2,0,0,True
1,2.17,0,0,1,True
4,6.02,1,0,1,True
5,13.05,2,0,0,True
1,2.13,1,0,1,True
1,1.92,0,0,1,True
5,0.55,1,1,1,False
5,0.77,2,1,0,True
3,11.16,1,0,0,True
1,2.24,1,1,1,True
5,0.51,0,1,1,False
1,9.12,1,0,0,True
1,6.92,0,1,0,True
3,2.12,2,0,0,True
1,12.87,2,1,1,True
5,4.69,0,1,1,True
5,3.97,0,1,1,True
5,6.37,0,0,0,True
3,5.83,2,0,1,True
1,9.74,1,1,0,True
5,7.53,2,1,0,True
4,6.97,2,0,1,True
1,11.10,0,0,0,True
5,9.46,1,0,0,True
1,8.62,1,0,0,True
1,13.19,2,0,1,True
4,1.51,0,0,1,True
5,0.48,1,0,0,False
3,10.29,0,1,0,True
3,9.45,1,0,1,True
4,3.47,2,1,0,True
3,2.04,2,1,1,True
5,10.44,2,1,0,True
5,9.07,1,0,0,True
4,7.58,2,1,1,True
5,5.97,1,0,0,True
4,0.79,1,0,0,True
3,7.50,0,1,1,True
1,7.53,0,0,0,True
2,9.87,0,0,0,True
2,7.95,1,0,1,True
5,6.69,0,0,0,True
3,8.59,1,0,1,True
4,13.34,2,0,1,True
1,10.22,2,0,0,True
2,9.28,2,1,0,True
3,0.39,1,1,0,True
1,12.29,1,1,1,True
3,11.85,2,1,0,True
1,13.73,2,0,0,True
2,5.35,0,1,1,True
2,10.96,1,0,0,True
5,13.15,2,1,0,True
4,2.04,2,0,0,True
4,9.58,0,1,1,True
5,0.94,2,0,1,True
5,9.31,2,1,1,True
2,6.41,2,0,1,True
2,8.18,2,1,1,True
3,1.12,0,1,1,True
2,7.48,0,0,0,True
5,10.84,0,0,1,True
1,14.06,1,1,1,True
3,5.96,2,1,1,True
3,2.96,1,0,1,True
2,1.41,2,1,0,True
1,1.74,0,1,0,True
2,2.40,2,0,1,True
4,10.16,0,1,0,True
2,9.86,2,0,1,True
3,7.56,2,1,1,True
4,5.61,1,0,1,True
2,11.11,2,1,0,True
1,6.68,1,1,1,True
2,9.54,2,1,0,True
1,0.06,1,0,0,True
1,9.27,1,1,0,True
2,4.53,2,1,0,True
2,7.15,0,1,1,True
2,12.03,2,1,0,True
4,3.31,0,1,0,True
2,1.51,1,0,1,True
5,9.06,0,0,0,True
2,9.22,0,0,0,True
3,7.09,0,0,1,True
1,5.27,0,0,1,True
1,10.08,0,0,0,True
1,4.05,2,1,1,True
1,13.53,1,0,1,True
5,6.42,0,0,0,True
4,3.30,0,1,1,True
3,11.93,2,0,0,True
3,0.43,0,0,0,True
1,0.27,2,1,1,True
1,12.93,2,0,0,True
1,1.06,1,0,1,True
1,4.17,1,0,1,True
3,2.69,1,1,1,True
3,13.29,0,0,1,True
5,12.00,1,0,1,True
4,2.39,1,0,1,True
1,2.94,1,0,1,True
3,12.46,0,1,0,True
2,9.00,2,0,1,True
1,13.15,0,1,0,True
4,13.25,1,0,1,True
2,2.36,0,0,0,True
1,6.43,2,1,1,True
5,0.88,1,1,1,False
1,5.02,0,0,0,True
1,8.08,2,1,0,True
2,4.40,0,0,1,True
3,13.88,0,0,0,True
3,8.39,0,0,1,True
2,2.46,0,0,0,True
3,4.20,2,0,0,True
4,4.92,0,1,0,True
1,11.66,1,0,0,True
5,11.31,0,1,1,True
5,1.06,2,1,0,True
5,11.09,0,1,1,True
2,5.13,1,0,1,True
2,8.54,0,1,1,True
4,14.01,0,0,1,True
2,9.17,1,0,0,True
5,13.91,2,1,1,True
2,4.72,0,0,0,True
2,9.83,0,0,1,True
3,13.30,0,0,0,True
1,12.26,0,1,0,True
4,2.03,0,0,0,True
1,5.30,2,1,1,True
4,7.08,2,0,1,True
2,0.64,0,1,1,True
2,13.40,2,0,1,True
2,8.00,2,1,1,True
4,1.25,1,0,0,True
2,10.76,0,0,0,True
4,14.23,2,0,0,True
1,0.62,1,1,0,True
5,10.09,1,1,0,True
4,11.68,2,1,0,True
3,12.52,2,1,0,True
2,11.94,1,0,1,True
1,1.66,0,1,1,True
3,2.86,0,1,1,True
4,12.17,1,1,1,True
4,10.01,1,0,1,True
3,4.32,2,0,0,True
5,9.96,2,1,0,True
1,4.24,2,0,0,True
4,8.96,0,0,0,True
4,4.32,0,0,0,True
2,13.03,1,1,1,True
4,0.28,2,1,0,True
3,0.10,0,0,1,True
4,5.64,0,0,1,True
2,4.14,0,0,1,True
1,11.83,0,1,0,True
5,6.91,1,0,1,True
2,13.67,1,0,1,True
1,7.76,1,1,0,True
5,0.08,1,0,0,False
3,3.60,0,1,1,True
4,9.71,1,1,0,True
1,6.56,2,1,1,True
4,0.07,1,0,0,False
4,4.11,1,0,0,True
2,8.37,0,1,1,True
2,8.15,0,0,1,True
3,5.04,0,1,1,True
2,2.62,0,1,1,True
1,4.68,2,1,0,True
5,9.19,1,0,0,True
2,5.01,1,0,0,True
3,7.69,1,1,1,True
1,11.98,1,0,1,True
2,8.05,2,1,1,True
3,6.32,1,1,0,True
3,2.36,2,1,1,True
2,1.33,2,1,0,True
5,8.81,1,1,1,True
5,6.24,2,1,1,True
4,5.27,2,0,1,True
1,9.85,0,0,0,True
1,7.51,0,0,0,True
1,10.12,0,1,0,True
5,12.02,1,0,1,True
1,11.64,0,1,1,True
4,2.50,1,1,1,True
5,5.87,1,0,1,True
1,14.33,0,0,1,True
4,0.23,0,1,0,False
2,13.85,2,0,0,True
2,3.17,2,1,0,True
2,4.75,0,1,1,True
3,11.11,0,0,1,True
3,13.16,0,1,0,True
5,14.23,2,0,0,True
4,5.12,0,0,1,True
3,3.14,1,0,1,True
2,1.93,0,1,0,True
4,1.14,2,0,1,True
1,6.74,2,1,1,True
1,11.79,2,0,1,True
4,2.17,2,1,1,True
1,6.01,2,1,1,True
4,6.21,1,0,1,True
4,11.61,1,1,0,True
3,8.93,0,0,0,True
2,13.91,1,0,1,True
3,13.48,1,0,1,True
3,2.23,2,1,0,True
